idx,name,category,D_exp,py_five_state,theory_five_state,consistent,deviation,critical_index,therapeutic_index_DNA,rdkit_calibrated,note
78,胆固醇,脂类,1.53,土态,火态,False,0.11999999999999988,0.045049505571806724,0.9854475819242977,True,
79,咖啡因,西药,1.35,火态,火态,True,0.1499999999999999,3.3092400101814175e-13,0.1607966372498205,True,
80,二甲双胍,西药,1.37,火态,火态,True,0.1299999999999999,2.054622623451105e-11,0.2784311886979216,True,
81,阿司匹林,西药,1.4,火态,火态,True,0.10000000000000009,5.516467649421616e-09,0.5137619090625042,True,
82,对乙酰氨基酚,西药,1.4,火态,火态,True,0.10000000000000009,5.516467649421616e-09,0.5137619090625042,True,
83,布洛芬,西药,1.42,火态,火态,True,0.08000000000000007,1.5389669365163615e-07,0.6688444586792317,True,
84,左旋多巴,西药,1.43,火态,火态,True,0.07000000000000006,7.209382342752812e-07,0.7352506893273683,True,
85,青霉素G,西药,1.45,火态,火态,True,0.050000000000000044,1.2445287135158695e-05,0.8389958672295977,True,
86,阿莫西林,西药,1.48,木态,火态,False,0.1200000000000001,0.0004898786649459345,0.9301283893194162,True,
87,氟西汀,西药,1.48,木态,火态,False,0.1200000000000001,0.0004898786649459345,0.9301283893194162,True,
88,地西泮,西药,1.49,水态,火态,False,0.3600000000000001,0.001420024846363038,0.9480358097601794,True,
89,华法林,西药,1.5,火态,火态,True,0.0,0.0037997918119326854,0.961669432368086,True,
90,环丙沙星,西药,1.5,木态,火态,False,0.10000000000000009,0.0037997918119326854,0.961669432368086,True,
91,奥美拉唑,西药,1.51,木态,火态,False,0.09000000000000008,0.009385990346738092,0.9719677865818845,True,
92,吗啡,西药,1.52,木态,火态,False,0.08000000000000007,0.021402122490235653,0.9796925654973226,True,
93,阿托伐他汀,西药,1.56,木态,木态,True,0.040000000000000036,0.25997298945125047,0.9950932714527969,True,
94,汞,重金属,1.03,火态,火态,True,0.47,8.534373096085822e-61,4.335740489411815e-08,False,估算值
95,铅,重金属,1.05,火态,火态,True,0.44999999999999996,8.866723621836847e-57,1.439923659732344e-07,False,估算值
96,镉,重金属,1.06,火态,火态,True,0.43999999999999995,8.015739726973195e-55,2.591265165779801e-07,False,估算值
97,砷,重金属,1.08,火态,火态,True,0.41999999999999993,5.153162081411413e-51,8.183908455140705e-07,False,估算值
